operating_day,hour_beginning,node,bid_mw,bid_type
2022-01-01,0,ARKANSAS.HUB,0.36074045853803033,DEC
2022-01-01,0,ILLINOIS.HUB,0.0,DEC
2022-01-01,0,INDIANA.HUB,0.0,DEC
2022-01-01,0,LOUISIANA.HUB,0.6535028218923516,DEC
2022-01-01,0,MICHIGAN.HUB,0.0,DEC
2022-01-01,0,MINN.HUB,0.0,INC
2022-01-01,0,MS.HUB,0.7265792927218818,DEC
2022-01-01,0,TEXAS.HUB,0.2409186378814773,DEC
2022-01-01,1,ARKANSAS.HUB,0.6741737290086148,DEC
2022-01-01,1,ILLINOIS.HUB,0.0,DEC
2022-01-01,1,INDIANA.HUB,0.0,DEC
2022-01-01,1,LOUISIANA.HUB,1.1167430974222745,DEC
2022-01-01,1,MICHIGAN.HUB,0.2460601849379278,DEC
2022-01-01,1,MINN.HUB,0.0,INC
2022-01-01,1,MS.HUB,1.313567917241843,DEC
2022-01-01,1,TEXAS.HUB,0.0,DEC
2022-01-01,2,ARKANSAS.HUB,0.0,DEC
2022-01-01,2,ILLINOIS.HUB,0.0,DEC
2022-01-01,2,INDIANA.HUB,0.0,DEC
2022-01-01,2,LOUISIANA.HUB,0.0,DEC
2022-01-01,2,MICHIGAN.HUB,0.0,DEC
2022-01-01,2,MINN.HUB,0.0,DEC
2022-01-01,2,MS.HUB,0.9253281774683181,DEC
2022-01-01,2,TEXAS.HUB,0.0,INC
2022-01-01,3,ARKANSAS.HUB,0.17916676095789213,DEC
2022-01-01,3,ILLINOIS.HUB,0.11934215424733799,DEC
2022-01-01,3,INDIANA.HUB,0.0,DEC
2022-01-01,3,LOUISIANA.HUB,0.0,DEC
2022-01-01,3,MICHIGAN.HUB,1.1597502315956483,DEC
2022-01-01,3,MINN.HUB,0.0,DEC
2022-01-01,3,MS.HUB,1.3621474253450987,DEC
2022-01-01,3,TEXAS.HUB,0.0,DEC
2022-01-01,4,ARKANSAS.HUB,0.0,DEC
2022-01-01,4,ILLINOIS.HUB,0.0,DEC
2022-01-01,4,INDIANA.HUB,0.0,INC
2022-01-01,4,LOUISIANA.HUB,0.0,DEC
2022-01-01,4,MICHIGAN.HUB,0.0,DEC
2022-01-01,4,MINN.HUB,0.0,INC
2022-01-01,4,MS.HUB,1.3823719486963824,DEC
2022-01-01,4,TEXAS.HUB,0.0,INC
2022-01-01,5,ARKANSAS.HUB,0.0,DEC
2022-01-01,5,ILLINOIS.HUB,1.290784694915303,DEC
2022-01-01,5,INDIANA.HUB,0.0,INC
2022-01-01,5,LOUISIANA.HUB,1.665836807752215,DEC
2022-01-01,5,MICHIGAN.HUB,0.6091440506417589,DEC
2022-01-01,5,MINN.HUB,0.259790713021841,DEC
2022-01-01,5,MS.HUB,1.475254546959552,DEC
2022-01-01,5,TEXAS.HUB,0.0,DEC
2022-01-01,6,ARKANSAS.HUB,0.0,DEC
2022-01-01,6,ILLINOIS.HUB,0.13637531326439284,DEC
2022-01-01,6,INDIANA.HUB,0.0,INC
2022-01-01,6,LOUISIANA.HUB,0.13638342150931435,DEC
2022-01-01,6,MICHIGAN.HUB,0.0,INC
2022-01-01,6,MINN.HUB,0.0,DEC
2022-01-01,6,MS.HUB,0.3595882497085399,DEC
2022-01-01,6,TEXAS.HUB,0.0,DEC
2022-01-01,7,ARKANSAS.HUB,0.0,INC
2022-01-01,7,ILLINOIS.HUB,0.0,INC
2022-01-01,7,INDIANA.HUB,-0.13753841504976158,INC
2022-01-01,7,LOUISIANA.HUB,0.0,DEC
2022-01-01,7,MICHIGAN.HUB,0.0,INC
2022-01-01,7,MINN.HUB,0.0,INC
2022-01-01,7,MS.HUB,0.0,INC
2022-01-01,7,TEXAS.HUB,0.0,INC
2022-01-01,8,ARKANSAS.HUB,0.16469886799704528,DEC
2022-01-01,8,ILLINOIS.HUB,0.8127840004164069,DEC
2022-01-01,8,INDIANA.HUB,0.8526535919416953,DEC
2022-01-01,8,LOUISIANA.HUB,2.0903006462493474,DEC
2022-01-01,8,MICHIGAN.HUB,1.1204856691818814,DEC
2022-01-01,8,MINN.HUB,0.38720921843643635,DEC
2022-01-01,8,MS.HUB,1.7148644204987502,DEC
2022-01-01,8,TEXAS.HUB,0.3222235378850885,DEC
2022-01-01,9,ARKANSAS.HUB,0.36003612024292797,DEC
